method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,lpips,qalign_score,psnr_y_z,ssim_y_z,lpips_z,qalign_score_z,case_type,score
SwinIR,B100,4,45096.png,45096,/root/autodl-tmp/imageSR/B100/HR/45096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/45096x4.png,/root/autodl-tmp/实验结果图对比/SwinIR_SR_x4_Test/visualization/B100/45096x4_SwinIR.png,,480,320,4,34.760057586237885,0.9290213740483176,36.16320120015644,0.944431948994494,0.1839291602373123,2.44140625,1.6582681642429322,1.0034759268322244,-0.45460198377705624,-1.0789793893271136,high_psnr_low_qalign,2.737247553570046
MambaIRv2,B100,4,45096.png,45096,/root/autodl-tmp/imageSR/B100/HR/45096.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/45096x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIRv2_SRBase_x4/visualization/B100/45096x4_MambaIRv2.png,,480,320,4,34.951549838398826,0.9298759300954464,36.35744752132131,0.9450085623211508,0.1761641502380371,2.49609375,1.6991472323544075,1.0080288868025384,-0.4980488418497289,-1.0134635888852646,high_psnr_low_qalign,2.712610821239672
MambaIR,Urban100,4,img048.png,img048,/root/autodl-tmp/imageSR/Urban100/HR/img048.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img048x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/Urban100/img048x4_MambaIR.png,,684,1024,4,19.86206256180284,0.857776488616099,21.161884496299656,0.8655538298577754,0.1408674120903015,4.953125,-1.4987535163801826,0.3806514058566927,-0.6955414880763412,1.9300677309663787,low_psnr_high_qalign,3.428821247346561
SwinIR,Urban100,4,img048.png,img048,/root/autodl-tmp/imageSR/Urban100/HR/img048.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img048x4.png,/root/autodl-tmp/实验结果图对比/SwinIR_SR_x4_Test/visualization/Urban100/img048x4_SwinIR.png,,684,1024,4,20.44362484904952,0.8725617339370086,21.74946463854648,0.8804644007200398,0.1255519092082977,4.953125,-1.3750974877263828,0.49838582012010946,-0.7812349360034065,1.9300677309663787,low_psnr_high_qalign,3.3051652186927614
SwinIR,Urban100,4,img067.png,img067,/root/autodl-tmp/imageSR/Urban100/HR/img067.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img067x4.png,/root/autodl-tmp/实验结果图对比/SwinIR_SR_x4_Test/visualization/Urban100/img067x4_SwinIR.png,,1024,680,4,20.469122345547373,0.9073038267780532,21.95656367414651,0.9245993430168936,0.0587796531617641,4.87890625,-1.3315135705054812,0.8468769428188576,-1.1548397004424353,1.8411534303667265,low_psnr_high_qalign,3.1726670008722078
SwinIR,Urban100,4,img092.png,img092,/root/autodl-tmp/imageSR/Urban100/HR/img092.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img092x4.png,/root/autodl-tmp/实验结果图对比/SwinIR_SR_x4_Test/visualization/Urban100/img092x4_SwinIR.png,,1024,692,4,18.54487636512863,0.7038798181493714,19.87294105607598,0.7209987888154517,0.3240962624549866,4.49609375,-1.7700111977033766,-0.7607604987011652,0.32966232458539907,1.3825428272737836,low_psnr_high_qalign,3.15255402497716
SwinIR,Urban100,4,img098.png,img098,/root/autodl-tmp/imageSR/Urban100/HR/img098.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img098x4.png,/root/autodl-tmp/实验结果图对比/SwinIR_SR_x4_Test/visualization/Urban100/img098x4_SwinIR.png,,1024,680,4,19.98439258485756,0.6087758026842396,21.380948823921266,0.6253591553959661,0.3719412386417389,4.69921875,-1.452651507776182,-1.5159345510580704,0.5973649920733055,1.625887228914937,low_psnr_high_qalign,3.0785387366911188
MambaIRv2,Urban100,4,img048.png,img048,/root/autodl-tmp/imageSR/Urban100/HR/img048.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img048x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIRv2_SRBase_x4/visualization/Urban100/img048x4_MambaIRv2.png,,684,1024,4,21.632553722812062,0.8992521499011278,22.94622436134104,0.90681354052938,0.1064180508255958,4.95703125,-1.1232398364318419,0.7064395942146056,-0.8882928830779713,1.9347474309979393,low_psnr_high_qalign,3.057987267429781
MambaIR,Urban100,4,img092.png,img092,/root/autodl-tmp/imageSR/Urban100/HR/img092.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img092x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/Urban100/img092x4_MambaIR.png,,1024,692,4,19.196121865782665,0.7241352459200536,20.52663926183314,0.7413805280007142,0.313792735338211,4.49609375,-1.6324406464710837,-0.5998255387446967,0.2720119313042225,1.3825428272737836,low_psnr_high_qalign,3.0149834737448673
MambaIR,Urban100,4,img067.png,img067,/root/autodl-tmp/imageSR/Urban100/HR/img067.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img067x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/Urban100/img067x4_MambaIR.png,,1024,680,4,21.308717762714164,0.9139941783160322,22.848027552006865,0.930774048846788,0.0591413602232933,4.8984375,-1.1439053194794937,0.8956326464634008,-1.152815873638914,1.8645519305245297,low_psnr_high_qalign,3.0084572500040236
MambaIR,Urban100,4,img047.png,img047,/root/autodl-tmp/imageSR/Urban100/HR/img047.png,/root/autodl-tmp/imageSR/Urban100/LR_bicubic/X4/img047x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/Urban100/img047x4_MambaIR.png,,1024,616,4,21.712110211433803,0.8450042378129835,23.195319696219645,0.8535841059785064,0.153968796133995,4.94921875,-1.0708178132002648,0.28613802720483433,-0.622236499009352,1.9253880309348181,low_psnr_high_qalign,2.996205844135083
