method,dataset,scale,image_name,base_name,hr_path,lr_path,pred_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y,lpips,qalign_score
MambaIR,B100,4,24077.png,24077,/root/autodl-tmp/imageSR/B100/HR/24077.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/24077x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/24077x4_MambaIR.png,,480,320,4,26.94520658478855,0.8948976363989974,28.40231771732714,0.9053423970637678,0.16432753205299377,2.591796875
MambaIR,B100,4,241004.png,241004,/root/autodl-tmp/imageSR/B100/HR/241004.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/241004x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/241004x4_MambaIR.png,,480,320,4,31.09237260198744,0.8282509156891358,32.45091146986128,0.8525261527262874,0.30715927481651306,2.857421875
MambaIR,B100,4,241048.png,241048,/root/autodl-tmp/imageSR/B100/HR/241048.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/241048x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/241048x4_MambaIR.png,,480,320,4,23.822138572035968,0.6432100202226251,25.146802388359003,0.66507223894534,0.5134040713310242,2.146484375
MambaIR,B100,4,253027.png,253027,/root/autodl-tmp/imageSR/B100/HR/253027.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/253027x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/253027x4_MambaIR.png,,480,320,4,22.17160241195343,0.7238235115236265,23.5064065847883,0.743971414924571,0.3635905683040619,2.783203125
MambaIR,B100,4,253055.png,253055,/root/autodl-tmp/imageSR/B100/HR/253055.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/253055x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/253055x4_MambaIR.png,,480,320,4,31.47356155692881,0.8352066061346672,32.80500019871168,0.860631694206969,0.24830766022205353,2.7890625
MambaIR,B100,4,260058.png,260058,/root/autodl-tmp/imageSR/B100/HR/260058.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/260058x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/260058x4_MambaIR.png,,480,320,4,31.369007139259253,0.7792510372822469,32.7045704690391,0.8107890411941551,0.323294997215271,2.84375
MambaIR,B100,4,271035.png,271035,/root/autodl-tmp/imageSR/B100/HR/271035.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/271035x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/271035x4_MambaIR.png,,320,480,4,27.082500776477616,0.7940571686433667,28.425661933894418,0.816555572579625,0.2873058319091797,2.7421875
MambaIR,B100,4,285079.png,285079,/root/autodl-tmp/imageSR/B100/HR/285079.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/285079x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/285079x4_MambaIR.png,,320,480,4,24.651910859914658,0.711381450305633,25.997012565091715,0.7323702688750797,0.34150347113609314,3.646484375
MambaIR,B100,4,291000.png,291000,/root/autodl-tmp/imageSR/B100/HR/291000.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/291000x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/291000x4_MambaIR.png,,480,320,4,20.246620568127987,0.4707785974802704,21.61290096065452,0.4903430666524543,0.6960920095443726,2.38671875
MambaIR,B100,4,295087.png,295087,/root/autodl-tmp/imageSR/B100/HR/295087.png,/root/autodl-tmp/imageSR/B100/LR_bicubic/X4/295087x4.png,/root/autodl-tmp/实验结果图对比/test_MambaIR_SR_x4/visualization/B100/295087x4_MambaIR.png,,480,320,4,26.368400542742528,0.7339873117228085,27.67935994565949,0.7552779908721665,0.36640506982803345,3.033203125
