dataset,scale,image_name,base_name,hr_path,lr_path,error,width,height,crop_border,psnr_rgb,ssim_rgb,psnr_y,ssim_y
Manga109,3,PsychoStaff.png,psychostaff,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/PsychoStaff.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/PsychoStaff_LRBI_x3.png,,826,1170,3,27.411164858382286,0.8843043282603363,28.13548652939136,0.8985868760487676
Manga109,3,Raphael.png,raphael,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/Raphael.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/Raphael_LRBI_x3.png,,826,1170,3,23.523141088843534,0.822279190000057,24.26241872088168,0.8423678589378035
Manga109,3,ReveryEarth.png,reveryearth,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ReveryEarth.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ReveryEarth_LRBI_x3.png,,826,1170,3,24.582854988007906,0.7987487548014194,25.250489456573195,0.8219330261067176
Manga109,3,RinToSiteSippuNoNaka.png,rintositesippunonaka,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/RinToSiteSippuNoNaka.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/RinToSiteSippuNoNaka_LRBI_x3.png,,826,1170,3,24.940244759103667,0.8830318248855994,25.61667128933579,0.8995818272819592
Manga109,3,RisingGirl.png,risinggirl,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/RisingGirl.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/RisingGirl_LRBI_x3.png,,826,1170,3,24.385174641037338,0.8290064243559826,25.875802045505132,0.8489285026127522
Manga109,3,Saisoku.png,saisoku,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/Saisoku.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/Saisoku_LRBI_x3.png,,826,1170,3,22.066453357260812,0.715927293007138,23.038061516726724,0.7468511528726659
Manga109,3,SaladDays_vol01.png,saladdays_vol01,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/SaladDays_vol01.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/SaladDays_vol01_LRBI_x3.png,,826,1170,3,25.61546139882756,0.8599512266487327,26.250882293904027,0.8705149385364165
Manga109,3,SaladDays_vol18.png,saladdays_vol18,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/SaladDays_vol18.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/SaladDays_vol18_LRBI_x3.png,,826,1170,3,26.589313832501112,0.8818304564819853,27.394722651470484,0.8891875717504901
Manga109,3,SamayoeruSyonenNiJunaiWo.png,samayoerusyonennijunaiwo,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/SamayoeruSyonenNiJunaiWo.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/SamayoeruSyonenNiJunaiWo_LRBI_x3.png,,826,1170,3,24.6090905695467,0.7892270764850945,25.47344184290622,0.8028799273765274
Manga109,3,SeisinkiVulnus.png,seisinkivulnus,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/SeisinkiVulnus.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/SeisinkiVulnus_LRBI_x3.png,,826,1170,3,26.67515560226458,0.8330550481264215,27.427480175588087,0.8529725233586276
Manga109,3,ShimatteIkouze_vol01.png,shimatteikouze_vol01,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ShimatteIkouze_vol01.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ShimatteIkouze_vol01_LRBI_x3.png,,826,1170,3,23.928328229697353,0.8775550008122589,24.940530844491438,0.8960844006132725
Manga109,3,ShimatteIkouze_vol26.png,shimatteikouze_vol26,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/ShimatteIkouze_vol26.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/ShimatteIkouze_vol26_LRBI_x3.png,,826,1170,3,21.26708774054181,0.8502182304908562,22.03681036891723,0.8686786730307251
Manga109,3,SonokiDeABC.png,sonokideabc,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/SonokiDeABC.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/SonokiDeABC_LRBI_x3.png,,826,1170,3,25.992678134322645,0.8472195164299849,26.95127299822564,0.8659118206219624
Manga109,3,SyabondamaKieta.png,syabondamakieta,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/SyabondamaKieta.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/SyabondamaKieta_LRBI_x3.png,,826,1170,3,24.010946812755552,0.806607096142367,24.917539314777546,0.8204935673959729
Manga109,3,TaiyouNiSmash.png,taiyounismash,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TaiyouNiSmash.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TaiyouNiSmash_LRBI_x3.png,,826,1170,3,28.07955881007675,0.8984093070800049,29.793821578285243,0.9083678503160747
Manga109,3,TapkunNoTanteisitsu.png,tapkunnotanteisitsu,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TapkunNoTanteisitsu.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TapkunNoTanteisitsu_LRBI_x3.png,,826,1170,3,26.682456220352854,0.8937019962288443,27.376543294179804,0.9075925184001412
Manga109,3,TasogareTsushin.png,tasogaretsushin,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/TasogareTsushin.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X3/TasogareTsushin_LRBI_x3.png,,826,1170,3,24.51077667320714,0.8475121646709499,25.374909258405033,0.8593087765159086
