image_name,base_name,method,gt_path,pred_path,width,height,psnr,ssim,lpips,qalign_score
foreman.png,foreman,swinir,./data/images_restoration/hr/foreman.png,./data/images_restoration/swinir/foreman.png,352,288,22.38965,0.773012,0.158058,2.689453
lenna.png,lenna,swinir,./data/images_restoration/hr/lenna.png,./data/images_restoration/swinir/lenna.png,512,512,18.792828,0.485492,0.296537,3.097656
man.png,man,swinir,./data/images_restoration/hr/man.png,./data/images_restoration/swinir/man.png,512,512,17.001003,0.323499,0.37294,2.751953
monarch.png,monarch,swinir,./data/images_restoration/hr/monarch.png,./data/images_restoration/swinir/monarch.png,768,512,17.77099,0.650669,0.17854,4.78125
pepper.png,pepper,swinir,./data/images_restoration/hr/pepper.png,./data/images_restoration/swinir/pepper.png,512,512,18.06539,0.51644,0.289119,3.5625
ppt3.png,ppt3,swinir,./data/images_restoration/hr/ppt3.png,./data/images_restoration/swinir/ppt3.png,529,656,14.901405,0.66815,0.135808,4.257812
zebra.png,zebra,swinir,./data/images_restoration/hr/zebra.png,./data/images_restoration/swinir/zebra.png,586,391,13.209747,0.194233,0.333326,4.054688
baboon.png,baboon,mambairv2,./data/images_restoration/hr/baboon.png,./data/images_restoration/mambairv2/baboon.png,500,480,21.077494,0.530208,0.453044,3.294922
barbara.png,barbara,mambairv2,./data/images_restoration/hr/barbara.png,./data/images_restoration/mambairv2/barbara.png,720,576,25.384286,0.769985,0.322312,3.001953
bridge.png,bridge,mambairv2,./data/images_restoration/hr/bridge.png,./data/images_restoration/mambairv2/bridge.png,512,512,24.258023,0.66783,0.440899,2.736328
coastguard.png,coastguard,mambairv2,./data/images_restoration/hr/coastguard.png,./data/images_restoration/mambairv2/coastguard.png,352,288,24.732793,0.567382,0.456283,2.398438
comic.png,comic,mambairv2,./data/images_restoration/hr/comic.png,./data/images_restoration/mambairv2/comic.png,250,361,18.658306,0.628621,0.201392,3.894531
face.png,face,mambairv2,./data/images_restoration/hr/face.png,./data/images_restoration/mambairv2/face.png,276,276,30.110225,0.753428,0.309163,2.605469
flowers.png,flowers,mambairv2,./data/images_restoration/hr/flowers.png,./data/images_restoration/mambairv2/flowers.png,500,362,23.26618,0.764975,0.171065,3.835938
foreman.png,foreman,mambairv2,./data/images_restoration/hr/foreman.png,./data/images_restoration/mambairv2/foreman.png,352,288,29.752642,0.922597,0.133517,2.884766
lenna.png,lenna,mambairv2,./data/images_restoration/hr/lenna.png,./data/images_restoration/mambairv2/lenna.png,512,512,31.018108,0.814627,0.227493,3.121094
man.png,man,mambairv2,./data/images_restoration/hr/man.png,./data/images_restoration/mambairv2/man.png,512,512,26.363492,0.759732,0.314009,2.863281
monarch.png,monarch,mambairv2,./data/images_restoration/hr/monarch.png,./data/images_restoration/mambairv2/monarch.png,768,512,33.127561,0.948261,0.12461,4.898438
pepper.png,pepper,mambairv2,./data/images_restoration/hr/pepper.png,./data/images_restoration/mambairv2/pepper.png,512,512,30.51497,0.815083,0.197462,3.619141
